train_name;category;problem;reason;solution;id
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нагружение ДГ на тормозные резисторы.;[nan];"[""Включен режим реостатных испытаний (Кадр 2, тумблер 'Реостат').""]";162
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Напряжение 1-ой звезды ТГ < min.;[nan];"[""Контролировать работу системы возбуждения ТГ на кадре 'Электрооборудование/Возбуждение'. Если система возбуждения неисправна, то перевести секцию в 'Холостой ход'.""]";163
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Напряжение 1-ой звезды ТГ > max.;[nan];['Повторно собрать схему тяги. При повторном срабатывании выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.'];164
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Напряжение 2-ой звезды ТГ < min.;[nan];"[""Контролировать работу системы возбуждения ТГ на кадре 'Электрооборудование/Возбуждение'. Если система возбуждения неисправна, то перевести секцию в 'Холостой ход', если возбуждение исправно (есть напряжение с обеих звезд ТГ).""]";165
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Напряжение 2-ой звезды ТГ > max.;[nan];['Повторно собрать схему тяги. При повторном срабатывании выключить все. три ОМ данной тележки, проверить отключение размыкателя в ТП.'];166
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Неверно включены автоматы в силовой цепи преобразователя А18.;[nan];"[""Проверить правильность включения автоматов QF16, QF18, QF17 в тамбуре. (Кадр 'Вспомогательное оборудование/ Охлаждение ТА и ТЭД').""]";167
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Неверно включены автоматы в силовой цепи преобразователя А5.;[nan];['Проверить правильность включения автоматов QF2, QF7, QF3 в тамбуре.'];168
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Неверно включены автоматы в силовой цепи преобразователя А6.;[nan];['Проверить правильность включения автоматов QF4, QF8, QF5 в тамбуре.'];169
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Неверно включены автоматы в силовой цепи преобразователя А7.;[nan];"[""Проверить правильность включения автоматов QF9, QF12, QF10 в тамбуре (Кадр 'Вспомогательное оборудование/ Охлаждение ТА и ТЭД').""]";170
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Неверно задано направление движение.;[nan];"[""Выбрать направление движения нажатием кнопки 'Вперед' или 'Назад'. Проверить состояние контактных групп кнопок при ложном срабатывании.""]";171
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Неисправен ДЧВ ТЭД1 [Отключи ОМ1].;[nan];['Повторно собрать схему тяги. При повторном срабатывании выключить ОМ1.'];172
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Неисправен датчик напряжения бортовой сети.;[nan];['Проверить зарядку АБ по вольтметру. (Внимание! При отсутствии заряда аккумуляторной батареи не работает компрессор. Отключить лишние потребители!).'];173
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Неисправен преобразователь А18.;[nan];"[""Переключить тумблер 'Возбуждение', автомат SF21 в высоковольтной камере. При повторной выдаче сообщения перевести преобразователь на резервную схему.""]";174
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Неисправен преобразователь А5.;[nan];"[""Переключить тумблер 'Возбуждение', автомат SF16 в высоковольтной камере. При повторной выдаче сообщения перевести преобразователь на резервную схему.""]";175
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Неисправен преобразователь А6.;[nan];"[""Переключить тумблер 'Возбуждение', автомат SF17 в высоковольтной камере. При повторной выдаче сообщения перевести преобразователь на резервную схему.""]";176
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Неисправен преобразователь А7.;[nan];"[""Переключить тумблер 'Возбуждение', автомат SF18 в высоковольтной камере. При повторной выдаче сообщения перевести преобразователь на резервную схему.""]";177
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Неисправна плата БОДД.;[nan];['Неисправно УОИ. Проверьте установку платы БОДД, перезагрузите УОИ, если не помогает вызовите вспомогательный локомотив.'];178
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет воды в расширительном баке.;[nan];['Проверить уровень воды в расширительном баке, состояние разъема на датчике уровня.'];179
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет заряда аккумуляторной батареи.;[nan];['Проверить зарядку АБ по вольтметру и автомат блока РНВГ. (Внимание! При отсутствии заряда аккумуляторной батареи не работает компрессор.Отключить лишние потребители).'];180
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет напряжения вспомогательного генератора.;[nan];"[""Повторно поставить 1 позицию тяги или переключить тумблер 'Возбуждение'. По кадру 'электрооборудование/Возбуждение' контролировать включение контактора КМ1, появление тока и напряжения вспомогательного генератора.""]";181
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет начального давления масла.;[nan];['Проверить уровень масла, работу насоса прокачки масла (если не работает - проверить предохранитель и контактор КМН) сравнить показания датчиков давления масла на входе и выходе дизеля (кадр Дизель, Масляная система).'];182
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет передачи на вторую секцию.;[nan];['Проверить работу УОИ второй секции и разъемы межсекционного соединения, перезагрузить МПСУ.'];183
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет приема со второй секции.;[nan];['Проверить работу УОИ второй секции и разъемы межсекционного соединения, перезагрузить МПСУ.'];184
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет связи ТП1 с МПСУ [Отключи ОМ 1, 2, 3].;[nan];['Переключить автомат питания ТП. Если не помогает, выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3). Если размыкатель не отключился - нажать на кнопку на ТП (автомат питания ТП должен быть включен).'];185
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет связи ТП2 с МПСУ [Отключи ОМ 4, 5, 6].;[nan];['Переключить автомат питания ТП. Если не помогает, выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.'];186
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет связи с первым тяговым преобразователем.;[nan];['Переключить автомат питания ТП. Если не помогает, выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.'];187
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет связи с преобразователем A18.;[nan];['Проверить работу автомата питания преобразователя (SF21), проверить разъем на преобразователе. Если связь не восстановлена, перейти на резервную схему.'];188
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет связи с преобразователем A5.;[nan];['Проверить работу автомата питания преобразователя (SF16), проверить разъем на преобразователе. Если связь не восстановлена, перейти на резервную схему.'];189
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет связи с преобразователем A6.;[nan];['Проверить работу автомата питания преобразователя (SF17), проверить разъем на преобразователе. Если связь не восстановлена перейти на резервную схему.'];190
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет связи с преобразователем A7.;[nan];['Проверить работу автомата питания преобразователя (SF18), проверить разъем на преобразователе. Если связь не восстановлена, перейти на резервную схему.'];191
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет связи с системой управления подачей топлива.;[nan];['Остановить дизель, перезагрузить МПСУ.'];192
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет связи с температурным измерителем. ИТ1, ИТ2.;[nan];['Запуск дизеля возможен, режим тяги возможен только при наличии связи. Остановить дизель, перезагрузить МПСУ.'];193
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет связи со вторым тяговым преобразователем.;[nan];['Переключить автомат питания ТП. Если не помогает, выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.'];194
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет тока возбуждения тягового генератора.;[nan];"[""Повторно поставить 1 позицию тяги или переключить тумблер 'Возбуждение'. По кадру 'Электрооборудование/Возбуждение' контролировать включение контактора КМ1, появление тока вспомогательного генератора.""]";195
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Нет управления второй секцией.;[nan];['Проверить работу УОИ второй секции и разъемы межсекционного соединения, перезагрузи МПСУ.'];196
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Обрыв датчиков температуры ТЭД.;[nan];['Допускается продолжить движение. Отметить в замечаниях.'];197
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Обрыв тормозной магистрали.;[nan];['Контролировать давление в тормозной магистрали по манометру.'];198
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Опущено валоповоротное устройство.;[nan];['Проверить положение валоповоротного устройства и состояние контактной группы блокировки 105.'];199
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Останов дизеля - малое давление масла.;[nan];"[""Проверить уровень масла, сравнить показания датчиков давления масла на входе и выходе дизеля (кадр 'Дизель', 'Масляная система'). Проверить состояние разъема датчика.""]";200
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат 'Возбуждения'.;[nan];['Проверить автомат. Автомат может быть выбит РЗВ или отключенным QF6. Включать QF1 надо после включения QF6!'];201
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат QF12 в силовой цепи преобразователя А76.;[nan];"[""Проверить состояние автомата QF12 в тамбуре (Кадр 'Вспомогательное оборудование/Охлаждение ТА и ТЭД'). При необходимости взвести. При повторном выбивании перевести секцию на 'Холостой ход'.""]";202
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат QF16 в силовой цепи преобразователь А18.;[nan];"[""Проверить состояние автомата QF16 в тамбуре (Кадр 'Вспомогательное оборудование/ Охлаждение ТА и ТЭД'). При необходимости взвести. При повторном выбивании перейти на резервную схему или перевести секцию на 'Холостой ход'.""]";203
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат QF18 в силовой цепи преобразователь А18.;[nan];"[""Проверить состояние автомата QF18 в тамбуре (Кадр 'Вспомогательное оборудование/Охлаждение ТА и ТЭД'). При необходимости взвести. При повторном выбивании перевести секцию на 'Холостой ход'.""]";204
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат QF2 в силовой цепи преобразователь А5.;[nan];"[""Проверить состояние автомата QF2 в тамбуре. При необходимости взвести. При повторном выбивании перейти на резервную схему или перевести секцию на 'Холостой ход'.""]";205
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат QF3 в силовой цепи преобразователь А5.;[nan];"[""Проверить состояние автомата QF7 в тамбуре. При необходимости взвести. При повторном выбивании перевести секцию на 'Холостой ход'.""]";206
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат QF4 в силовой цепи преобразователь А6.;[nan];"[""Проверить состояние автомата QF4 в тамбуре. При необходимости взвести. При повторном выбивании перейти на резервную схему или перевести секцию на 'Холостой ход'.""]";207
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат QF8 в силовой цепи преобразователь А6.;[nan];"[""Проверить состояние автомата QF8 в тамбуре. При необходимости взвести. При повторном выбивании перевести секцию на 'Холостой ход'.""]";208
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат QF9 в силовой цепи преобразователь А7.;[nan];"[""Проверить состояние автомата QF9 в тамбуре (Кадр 'Вспомогательное оборудование/ Охлаждение ТА и ТЭД'). При необходимости взвести. При повторном выбивании перейти на резервную схему или перевести секцию на 'Холостой ход'.""]";209
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат вентилятора вентиляторов.;[nan];['Проверить состояние автомата. Режим тяги разрешен. Отметить в замечаниях.'];210
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат защиты возбуждения.;[nan];"[""Проверить автомат, подводящие провода (Внимание! Возбуждения ТА не будет. Секцию - в 'Холостой ход'. Контролировать температуру теплоносителей дизеля).""]";211
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат питание 'Суперконденсаторов'.;[nan];['Проверьте состояние автоматического выключателя. Включите автомат.'];212
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат питание MTU.;[nan];['Проверьте состояние автоматического выключателя. Включите автомат.'];213
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат питания ТП1 или ТП2.;[nan];['Проверить автомат питания ТП. Если не помогает, выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.'];214
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат питания преобразователь А18.;[nan];['Проверить состояние автомата SF21 в высоковольтной камере, при необходимости взвести. При повторном выбивании перевести преобразователь на резервную схему.'];215
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат питания преобразователь А5.;[nan];['Проверить состояние автомата SF16 в высоковольтной камере, при необходимости взвести. При повторном выбивании перевести преобразователь на резервную схему.'];216
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат питания преобразователь А6.;[nan];['Проверить состояние автомата SF17 в высоковольтной камере, при необходимости взвести. При повторном выбивании перевести преобразователь на резервную схему.'];217
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат питания преобразователь А7.;[nan];['Проверить состояние автомата SF18 в высоковольтной камере, при необходимости взвести. При повторном выбивании перевести преобразователь на резервную схему.'];218
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат питания тормозного оборудование.;[nan];['Проверить состояние автомата. (Кран 130 работать не будет, перейти на резервный кран).'];219
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат пожарной сигнализации.;[nan];['Проверить состояние автомата SF10. При отключенном автомате запуск дизеля запрещен.'];220
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключен автомат управление общее.;[nan];['Проверить автомат, подводящие провода, наличие земли в цепях управления. Определить причину срабатывания автомата поочередным отключением цепей.'];221
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Отключены все автоматы в силовой цепи преобразователя А18.;[nan];"[""Проверить состояние автоматов QF16, QF18, QF17 в тамбуре. (Кадр 'Вспомогательное оборудование/ Охлаждение ТА и ТЭД').""]";222
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Открыта дверь в ТП1.;[nan];['Закрыть двери, проверить состояние концевых выключателей. Если не помогает выключить все три ОМ данной тележки. Проверить по ДМ отключение размыкателя.'];223
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Ошибка платы БОАД.;[nan];['Неисправно УОИ. Проверьте установку платы БОДД, перезагрузите УОИ, если не помогает вызовите вспомогательный локомотив.'];224
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Перегрев ТА.;[nan];"[""Проверить забор воздуха на охлаждение агрегата, по кадру 'Вспомогательные системы', 'Охлаждение ТЭД и ТА' проверить работу мотор-вентиляторов.""]";225
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Перегрев ТЭД1.;[nan];"[""Поверить забор и подачу воздуха на охлаждение ТЭД, по кадру 'Вспомогательные системы', 'Охлаждение ТЭД и ТА' проверить работу мотор-вентилятора. При неисправности преобразователя частоты А7 - перейти на резервную схему.""]";226
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Перегрев в ТП1.;[nan];['Контролировать температуру радиаторов. Проверить состояние моторов охлаждения ТП. Перегретый канал ТП будет автоматически отключен и включен по мере остывания.'];227
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Перегрузка 1-ой звезды ТГ.;[nan];['Повторно собрать схему тяги, следовать на более низких позициях. При повторном срабатывании выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.'];228
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Плата БОДД не отвечает.;[nan];['Неисправно УОИ. Проверьте установку платы БОДД, перезагрузите УОИ, если не помогает вызовите вспомогательный локомотив.'];229
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Превышение конструкционной скорости.;[nan];['Если ложное, то проверь тяговые преобразователи (кадр 3). Поочередным отключением ОМ определи неисправный ДЧВ или отключи все три ОМ.'];230
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Превышение скорости тележкой 1.;[nan];['Если ложное, то проверь тяговые преобразователи (кадр 3). Поочередным отключением ОМ определи неисправный ДЧВ, или отключи все три ОМ, проверить отключение размыкателя в ТП.'];231
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;РЗ по 1-ой тележке.;[nan];['Повторно собрать схему тяги. Поочередным отключением ОМ определить неисправный ТЭД. Если не помогает, то выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.'];232
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Реанимация.;[nan];['Произошел штатный перезапуск УОИ при работающем дизеле. Проверь возбуждение. Можно собирать тягу.'];233
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Сбой в САУ ТП1.;[nan];['Запуск дизеля производить ТОЛЬКО при отключенных автоматах питания ТП. Переключить автомат питания ТП (с выдержкой не менее 5 с). При повторном срабатывании выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.'];234
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Сброс нагрузки малое давление масла.;[nan];['Проверить уровень масла, сравнить показания датчиков давления масла на входе и выходе дизеля (кадр Дизель, Масляная система). Проверить состояние разъема датчика.'];235
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Сброс нагрузки по перегреву воды.;[nan];"[""Проверить положение тумблера 'управление холодильником', проверить наличие воды, открытие жалюзи, работу мотор-вентиляторов (Кадр 4). При неисправности преобразователя частоты перейти на резервную схему.""]";236
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Сброс нагрузки по перегреву масла.;[nan];"[""Проверить положение тумблера 'управление холодильником', проверить наличие воды, открытие жалюзи, работу мотор-вентиляторов (Кадр 4). При неисправности преобразователя частоты (А5 или А6) - перейти на резервную схему.""]";237
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Сработало реле защиты вспомогательного генератора.;[nan];"[""Проверить состояние автоматов QF1 и QF6. При необходимости взвести, проверить наличие возбуждения. При повторном срабатывании секцию в 'Холостой ход'.""]";238
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Стоп дизеля - малое давление масла.;[nan];['Проверить уровень масла, сравнить показания датчиков давления масла на входе и выходе дизеля (кадр Дизель, Масляная система).'];239
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Стоп дизеля - превышение оборотов.;[nan];"[""Проверить состояние механического предельного выключателя дизеля и воздушной захлопки. Допускается запуск дизеля, при повторном срабатывании защиты перевести секцию в 'Холостой ход'.""]";240
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Тележка 1 едет в другую сторону.;[nan];['Возможно при скатывании со скоростью более 3 км/ч. Перед началом движения произвести останов локомотива.'];241
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Температура воды более 100°C.;[nan];"[""Проверить положение тумблера 'управление холодильником', проверить наличие воды, открытие жалюзи, работу мотор-вентиляторов.""]";242
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Температура масла более 85°C.;[nan];"[""Проверить положение тумблера 'управление холодильником', проверить наличие воды, открытие жалюзи, работу мотор-вентиляторов.""]";243
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Температурный измеритель ИТ1, ИТ2 зашкаливает.;[nan];['Перезагрузи МПСУ. Проверь работу САРТ дизеля (кадр 4), если ложно повышены температуры, то перейти на ручное управление, контроль за температурой по другой секции.'];244
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Температурный измеритель зашкаливает.;[nan];['Перезагрузи МПСУ. Проверь работу САРТ дизеля, если ложно повышены температуры, то перейти на ручное управление, контроль за температурой по другой секции.'];245
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Ток возбуждения вспомогательного генератора большой.;[nan];"[""Следовать на более низких позициях или перевести секцию в 'Холостой ход'.""]";246
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Ток двигателя компрессора большой.;[nan];['Возможно появление при низкой температуре масла компрессора. Переключи автомат АМК - будет произведен повторный запуск. Допустимо 3-4 раза для прогрева масла. Если не помогает отключи компрессор автоматом АМК.'];247
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;Ускорение ТЭД1 6 > max.;[nan];['Повторно собрать схему тяги. При повторном срабатывании выключить соответствующий ОМ.'];248
ТЭМ18Д,ДМ;Диагностические сообщения в цепях управления тепловозом;ЭДТ не эффективен (замещение на пневмотормоз).;[nan];['Скорость менее 15 км/ч или сработала защита по ТП1 или ТП2.'];249
ТЭМ18Д,ДМ;;В ТП1 нет U от автомата 'Управление общее'.;['Напряжения нет.'];"[""Неисправна внутренняя проводка или плата ПДВВ САУ ТП. Проверить автомат 'Управление общее', разъемы на ТП. Если не помогает выключить все три ОМ данной тележки. Проверить по ДМ отключение размыкателя.""]";250
ТЭМ18Д,ДМ;;В ТП1 отключены автоматы 'Вентиляторов'.;['Неисправны блокировки и отключены автоматы.'];['Неисправна внутренняя проводка или плата ПДВВ САУ ТП. Проверить состояние автоматов вентиляторов охлаждения ТП и самих мотор-вентиляторов. При неисправности мотора выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3).'];251
ТЭМ18Д,ДМ;;В ТП2 не включен размыкатель.;['Неисправны блокировки.'];"[""Неисправна внутренняя проводка или плата ПДВВ САУ ТП. По кадру 3 контролировать состояние разъединителя. Если разъединитель не включается, то выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3). Если размыкатель не отключился - перевести секцию в 'Холостой ход'.""]";252
ТЭМ18Д,ДМ;;В ТП2 не включился размыкатель.;['Неисправны блокировки.'];"[""Неисправна внутренняя проводка или плата ПДВВ САУ ТП. По кадру 3 контролировать состояние разъединителя. Если разъединитель не включается, то выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3). Если размыкатель не отключился -перевести секцию в 'Холостой ход'.""]";253
ТЭМ18Д,ДМ;;В ТП2 не отключен размыкатель.;['Неисправны блокировки.'];"[""Неисправна внутренняя проводка или плата ПДВВ САУ ТП. По кадру 3 контролировать состояние разъединителя. Если разъединитель не отключается - перевести секцию в 'Холостой ход'.""]";254
ТЭМ18Д,ДМ;;В ТП2 не отключился размыкатель.;['Неисправны блокировки.'];"[""Неисправна внутренняя проводка или плата ПДВВ САУ ТП. По кадру 3 контролировать состояние разъединителя. Если разъединитель не отключается - перевести секцию в 'Холостой ход'.""]";255
ТЭМ18Д,ДМ;;В ТП2 нет U от автомата 'Управление общее'.;['Нет напряжения на ТП2.'];"[""Несправна внутренняя проводка или плата ПДВВ САУ ТП. Проверить автомат 'Управление общее', разъемы на ТП. Если не помогает, выключить все три ОМ данной тележки. Проверить по ДМ отключение размыкателя.""]";256
ТЭМ18Д,ДМ;;В ТП2 отключены автоматы вентиляторов.;['Неисправны блокировки.'];['Неисправна внутренняя проводка или плата ПДВВ САУ ТП. Проверить состояние автоматов вентиляторов охлаждения ТП и самих мотор-вентиляторов. При неисправности мотора выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3).'];257
ТЭМ18Д,ДМ;;В случае неисправности ВЦУ (выключатель цепей управления) или пневмомодуля на КМ N 395.;[nan];"[""Подать питание на '+' РММ-1 (или заклинить) - для питания основного пульта управления, подать питание на '+' РУ-31 (или заклинить) - для питания тормозного оборудования.""]";258
